m00038.0-constant  line 140  string `'_'` -> `'XX...XX'`
m00051.0-constant  line 142  string `''` -> `'XX...XX'`
m00066.0-constant  line 143  string `'>>>'` -> `'XX...XX'`
m00086.0-return  line 148  return value replaced with `None`
m00156.0-constant  line 176  `False` -> `True`
m00239.0-constant  line 189  `0` -> `1`
m00243.0-return  line 192  return value replaced with `None`
m00254.0-return  line 195  return value replaced with `None`
m00283.0-negation  line 208  removed `not`
m00329.0-negation  line 224  removed `not`
m00338.0-control  line 225  `continue` -> `break`
m00367.0-constant  line 238  string `'count'` -> `'XX...XX'`
m00399.0-constant  line 251  string `'mean'` -> `'XX...XX'`
m00412.0-return  line 261  return value replaced with `None`
m00420.0-constant  line 261  `1` -> `2`
m00436.0-constant  line 263  string `'max'` -> `'XX...XX'`
m00449.0-return  line 273  return value replaced with `None`
m00455.0-constant  line 273  `0` -> `1`
m00471.0-constant  line 275  string `'min'` -> `'XX...XX'`
m00497.0-constant  line 291  string `'median'` -> `'XX...XX'`
m00526.0-constant  line 305  string `'iqr'` -> `'XX...XX'`
m00586.0-constant  line 323  string `'trimean'` -> `'XX...XX'`
m00611.0-constant  line 335  string `'variance'` -> `'XX...XX'`
m00633.0-constant  line 345  string `'std_dev'` -> `'XX...XX'`
m00688.0-constant  line 359  string `'median_abs_dev'` -> `'XX...XX'`
m00723.0-return  line 375  return value replaced with `None`
m00734.0-constant  line 376  string `'rel_std_dev'` -> `'XX...XX'`
m00760.0-boolean  line 395  `and` -> `or`
m00762.0-comparison  line 395  comparison `>` -> `>=`
m00769.0-constant  line 395  `1` -> `2`
m00770.0-comparison  line 395  comparison `>` -> `>=`
m00774.0-constant  line 395  `0` -> `1`
m00776.0-arithmetic  line 396  operator `/` -> `*`
m00790.0-arithmetic  line 397  operator `*` -> `/`
m00791.0-arithmetic  line 397  operator `-` -> `+`
m00798.0-constant  line 397  `1` -> `2`
m00800.0-arithmetic  line 397  operator `**` -> `*`
m00804.0-constant  line 397  `3` -> `4`
m00805.0-return  line 399  return value replaced with `None`
m00816.0-constant  line 400  string `'skewness'` -> `'XX...XX'`
m00842.0-boolean  line 419  `and` -> `or`
m00844.0-comparison  line 419  comparison `>` -> `>=`
