m00024.0-constant  line 75  `1000000.0` -> `1000001.0`
m00028.0-arithmetic  line 76  operator `+` -> `-`
m00034.0-arithmetic  line 76  operator `*` -> `/`
m00040.0-constant  line 76  `86400` -> `86401`
m00044.0-arithmetic  line 77  operator `+` -> `-`
m00050.0-arithmetic  line 77  operator `*` -> `/`
m00056.0-return  line 78  return value replaced with `None`
m00057.0-arithmetic  line 78  operator `/` -> `*`
m00076.0-arithmetic  line 102  operator `-` -> `+`
m00085.0-arithmetic  line 104  operator `-` -> `+`
m00091.0-return  line 105  return value replaced with `None`
m00105.0-constant  line 108  string `'\\D'` -> `'XX...XX'`
m00130.0-return  line 135  return value replaced with `None`
m00143.0-constant  line 138  `0` -> `1`
m00148.0-constant  line 138  `1` -> `2`
m00149.0-constant  line 138  string `'second'` -> `'XX...XX'`
m00152.0-constant  line 139  `1` -> `2`
m00157.0-constant  line 139  `60` -> `61`
m00158.0-constant  line 139  string `'minute'` -> `'XX...XX'`
m00161.0-constant  line 140  `1` -> `2`
m00166.0-constant  line 140  `3600` -> `3601`
m00167.0-constant  line 140  string `'hour'` -> `'XX...XX'`
m00170.0-constant  line 141  `1` -> `2`
m00175.0-constant  line 141  `1` -> `2`
m00176.0-constant  line 141  string `'day'` -> `'XX...XX'`
m00179.0-constant  line 142  `1` -> `2`
m00184.0-constant  line 142  `7` -> `8`
m00185.0-constant  line 142  string `'week'` -> `'XX...XX'`
m00188.0-constant  line 143  `2` -> `3`
m00193.0-constant  line 143  `30` -> `31`
m00194.0-constant  line 143  string `'month'` -> `'XX...XX'`
m00197.0-constant  line 144  `1` -> `2`
m00202.0-constant  line 144  `365` -> `366`
m00203.0-constant  line 144  string `'year'` -> `'XX...XX'`
m00221.0-constant  line 145  `1` -> `2`
m00226.0-constant  line 145  `1` -> `2`
m00246.0-constant  line 146  `0` -> `1`
m00256.0-constant  line 148  string `'[+-]?\\ *(\\d+(\\.\\d*)?...'` -> `'XX...XX'`
m00266.0-constant  line 149  string `'((?P<value>%s)\\s*(?P...'` -> `'XX...XX'`
m00281.0-constant  line 150  `0` -> `1`
m00287.0-constant  line 150  string `'s'` -> `'XX...XX'`
m00307.0-constant  line 151  `2` -> `3`
m00341.0-constant  line 181  string `'value'` -> `'XX...XX'`
m00347.0-constant  line 181  string `'unit'` -> `'XX...XX'`
m00366.0-arithmetic  line 185  operator `%` -> `*`
m00367.0-constant  line 185  string `'invalid time unit %r...'` -> `'XX...XX'`
m00394.0-arithmetic  line 190  operator `%` -> `*`
m00395.0-constant  line 190  string `'invalid time value f...'` -> `'XX...XX'`
m00412.0-return  line 193  return value replaced with `None`
m00429.0-comparison  line 202  comparison `==` -> `!=`
m00433.0-constant  line 202  `1` -> `2`
m00434.0-return  line 203  return value replaced with `None`
m00437.0-return  line 204  return value replaced with `None`
m00438.0-arithmetic  line 204  operator `+` -> `-`
m00442.0-constant  line 204  string `'s'` -> `'XX...XX'`
m00450.0-constant  line 207  `0` -> `1`
m00451.0-constant  line 207  `True` -> `False`
m00455.0-comparison  line 239  comparison `is` -> `is not`
m00471.0-arithmetic  line 241  operator `-` -> `+`
m00496.0-arithmetic  line 244  operator `-` -> `+`
m00507.0-constant  line 244  `1` -> `2`
m00526.0-arithmetic  line 246  operator `/` -> `*`
m00548.0-return  line 249  return value replaced with `None`
m00563.0-return  line 250  return value replaced with `None`
m00576.0-constant  line 253  `0` -> `1`
m00596.0-constant  line 278  `True` -> `False`
m00600.0-constant  line 279  string `'ago'` -> `'XX...XX'`
m00602.0-comparison  line 280  comparison `<` -> `<=`
m00606.0-constant  line 280  `0` -> `1`
m00610.0-constant  line 281  string `'from now'` -> `'XX...XX'`
m00611.0-return  line 282  return value replaced with `None`
m00612.0-arithmetic  line 282  operator `%` -> `*`
m00613.0-constant  line 282  string `'%g %s %s'` -> `'XX...XX'`
m00644.0-return  line 309  return value replaced with `None`
m00656.0-constant  line 312  `1` -> `2`
m00657.0-constant  line 312  `False` -> `True`
m00661.0-negation  line 363  removed `not`
m00674.0-constant  line 364  string `'start expected datet...'` -> `'XX...XX'`
m00676.0-boolean  line 365  `and` -> `or`
m00680.0-negation  line 365  removed `not`
m00693.0-constant  line 366  string `'stop expected dateti...'` -> `'XX...XX'`
m00719.0-constant  line 370  `0` -> `1`
m00720.0-constant  line 370  `0` -> `1`
m00776.0-arithmetic  line 378  operator `%` -> `*`
m00777.0-constant  line 378  string `'step expected int, t...'` -> `'XX...XX'`
m00781.0-arithmetic  line 381  augmented assign `+=` -> `-=`
m00785.0-arithmetic  line 381  operator `*` -> `/`
m00789.0-constant  line 381  `12` -> `13`
m00791.0-comparison  line 383  comparison `is` -> `is not`
m00803.0-constant  line 384  `False` -> `True`
m00805.0-comparison  line 385  comparison `<=` -> `<`
m00845.0-negation  line 391  removed `not`
m00871.0-arithmetic  line 394  operator `+` -> `-`
m00872.0-arithmetic  line 394  operator `-` -> `+`
m00878.0-constant  line 394  `1` -> `2`
m00882.0-constant  line 394  `12` -> `13`
m00892.0-arithmetic  line 395  operator `+` -> `-`
m00901.0-arithmetic  line 396  operator `+` -> `-`
m00905.0-constant  line 396  `1` -> `2`
m00909.0-arithmetic  line 397  operator `+` -> `-`
m00930.0-constant  line 405  `1` -> `2`
