m00030.0-constant  line 57  string `'_MISSING'` -> `'XX...XX'`
m00044.0-constant  line 62  string `'IndexedSet'` -> `'XX...XX'`
m00045.0-constant  line 62  string `'complement'` -> `'XX...XX'`
m00050.0-constant  line 65  `8` -> `9`
m00088.0-constant  line 122  `0` -> `1`
m00094.0-constant  line 123  `0` -> `1`
m00132.0-negation  line 133  removed `not`
m00139.0-arithmetic  line 135  augmented assign `+=` -> `-=`
m00145.0-constant  line 135  `1` -> `2`
m00286.0-comparison  line 153  comparison `>` -> `>=`
m00293.0-constant  line 153  `384` -> `385`
m00301.0-comparison  line 155  comparison `>` -> `>=`
m00307.0-arithmetic  line 155  operator `/` -> `*`
m00329.0-constant  line 157  `1` -> `2`
m00337.0-constant  line 158  `1` -> `2`
m00339.0-comparison  line 159  comparison `is` -> `is not`
m00345.0-arithmetic  line 159  operator `+` -> `-`
m00349.0-constant  line 159  `1` -> `2`
m00354.0-arithmetic  line 160  augmented assign `+=` -> `-=`
m00358.0-constant  line 160  `1` -> `2`
m00360.0-boolean  line 161  `and` -> `or`
m00364.0-comparison  line 161  comparison `==` -> `!=`
m00371.0-constant  line 161  `1` -> `2`
m00373.0-constant  line 161  `1` -> `2`
m00387.0-constant  line 162  `1` -> `2`
m00409.0-arithmetic  line 167  augmented assign `+=` -> `-=`
m00419.0-negation  line 168  removed `not`
m00445.0-comparison  line 172  comparison `<` -> `<=`
m00451.0-control  line 173  `break` -> `continue`
m00452.0-arithmetic  line 174  augmented assign `+=` -> `-=`
m00456.0-arithmetic  line 174  operator `-` -> `+`
m00462.0-return  line 175  return value replaced with `None`
m00470.0-comparison  line 178  comparison `<` -> `<=`
m00474.0-constant  line 178  `0` -> `1`
m00475.0-arithmetic  line 179  augmented assign `+=` -> `-=`
m00485.0-negation  line 180  removed `not`
m00511.0-comparison  line 184  comparison `<` -> `<=`
m00517.0-control  line 185  `break` -> `continue`
m00518.0-arithmetic  line 186  augmented assign `-=` -> `+=`
m00522.0-arithmetic  line 186  operator `-` -> `+`
m00528.0-return  line 187  return value replaced with `None`
m00553.0-arithmetic  line 194  operator `+` -> `-`
