m00038.0-constant  line 140  string `'_'` -> `'XX...XX'`
m00051.0-constant  line 142  string `''` -> `'XX...XX'`
m00066.0-constant  line 143  string `'>>>'` -> `'XX...XX'`
m00367.0-constant  line 238  string `'count'` -> `'XX...XX'`
m00399.0-constant  line 251  string `'mean'` -> `'XX...XX'`
m00436.0-constant  line 263  string `'max'` -> `'XX...XX'`
m00471.0-constant  line 275  string `'min'` -> `'XX...XX'`
m00497.0-constant  line 291  string `'median'` -> `'XX...XX'`
m00526.0-constant  line 305  string `'iqr'` -> `'XX...XX'`
m00586.0-constant  line 323  string `'trimean'` -> `'XX...XX'`
m00611.0-constant  line 335  string `'variance'` -> `'XX...XX'`
m00633.0-constant  line 345  string `'std_dev'` -> `'XX...XX'`
m00688.0-constant  line 359  string `'median_abs_dev'` -> `'XX...XX'`
m00734.0-constant  line 376  string `'rel_std_dev'` -> `'XX...XX'`
m00762.0-comparison  line 395  comparison `>` -> `>=`
m00816.0-constant  line 400  string `'skewness'` -> `'XX...XX'`
m00844.0-comparison  line 419  comparison `>` -> `>=`
m00895.0-constant  line 424  string `'kurtosis'` -> `'XX...XX'`
m00925.0-arithmetic  line 430  operator `**` -> `*`
m00929.0-constant  line 430  `2.0` -> `3.0`
m00933.0-arithmetic  line 431  operator `*` -> `/`
m00941.0-arithmetic  line 435  operator `-` -> `+`
m00942.0-arithmetic  line 435  operator `*` -> `/`
m00943.0-constant  line 435  `4` -> `5`
m00949.0-constant  line 435  `3` -> `4`
m00956.0-arithmetic  line 436  operator `*` -> `/`
m00960.0-arithmetic  line 436  operator `+` -> `-`
m00964.0-constant  line 436  `3` -> `4`
m00968.0-arithmetic  line 437  operator `-` -> `+`
m00969.0-arithmetic  line 437  operator `-` -> `+`
m00970.0-arithmetic  line 437  operator `*` -> `/`
m00971.0-constant  line 437  `2` -> `3`
m00977.0-constant  line 437  `3` -> `4`
m00982.0-constant  line 437  `6` -> `7`
m01004.0-constant  line 440  `3` -> `4`
m01005.0-return  line 441  return value replaced with `None`
m01006.0-constant  line 441  `0` -> `1`
m01008.0-comparison  line 443  comparison `<` -> `<=`
m01012.0-constant  line 443  `3` -> `4`
m01016.0-comparison  line 445  comparison `>` -> `>=`
